city,day,day_part,degree
TASHKENT,9 MAY,kunduzi,28…30 °C
TASHKENT,10 MAY,kechasi,28…30 °C
TASHKENT,10 MAY,kunduzi,28…30 °C
TASHKENT,11 MAY,kechasi,28…30 °C
TASHKENT,11 MAY,kunduzi,28…30 °C
TASHKENT,12 MAY,kechasi,28…30 °C
NUKUS,9 MAY,kunduzi,30…35 °C
NUKUS,10 MAY,kechasi,30…35 °C
NUKUS,10 MAY,kunduzi,30…35 °C
NUKUS,11 MAY,kechasi,30…35 °C
NUKUS,11 MAY,kunduzi,30…35 °C
NUKUS,12 MAY,kechasi,30…35 °C
URGENCH,9 MAY,kunduzi,30…35 °C
URGENCH,10 MAY,kechasi,30…35 °C
URGENCH,10 MAY,kunduzi,30…35 °C
URGENCH,11 MAY,kechasi,30…35 °C
URGENCH,11 MAY,kunduzi,30…35 °C
URGENCH,12 MAY,kechasi,30…35 °C
BUKHARA,9 MAY,kunduzi,30…35 °C
BUKHARA,10 MAY,kechasi,30…35 °C
BUKHARA,10 MAY,kunduzi,30…35 °C
BUKHARA,11 MAY,kechasi,30…35 °C
BUKHARA,11 MAY,kunduzi,30…35 °C
BUKHARA,12 MAY,kechasi,30…35 °C
NAVOIY,9 MAY,kunduzi,30…35 °C
NAVOIY,10 MAY,kechasi,30…35 °C
NAVOIY,10 MAY,kunduzi,30…35 °C
NAVOIY,11 MAY,kechasi,30…35 °C
NAVOIY,11 MAY,kunduzi,30…35 °C
NAVOIY,12 MAY,kechasi,30…35 °C
SAMARKAND,9 MAY,kunduzi,27…32 °C
SAMARKAND,10 MAY,kechasi,27…32 °C
SAMARKAND,10 MAY,kunduzi,27…32 °C
SAMARKAND,11 MAY,kechasi,27…32 °C
SAMARKAND,11 MAY,kunduzi,27…32 °C
SAMARKAND,12 MAY,kechasi,27…32 °C
JIZZAKH,9 MAY,kunduzi,27…32 °C
JIZZAKH,10 MAY,kechasi,27…32 °C
JIZZAKH,10 MAY,kunduzi,27…32 °C
JIZZAKH,11 MAY,kechasi,27…32 °C
JIZZAKH,11 MAY,kunduzi,27…32 °C
JIZZAKH,12 MAY,kechasi,27…32 °C
GULISTAN,9 MAY,kunduzi,27…32 °C
GULISTAN,10 MAY,kechasi,27…32 °C
GULISTAN,10 MAY,kunduzi,27…32 °C
GULISTAN,11 MAY,kechasi,27…32 °C
GULISTAN,11 MAY,kunduzi,27…32 °C
GULISTAN,12 MAY,kechasi,27…32 °C
QARSHI,9 MAY,kunduzi,30…35 °C
QARSHI,10 MAY,kechasi,30…35 °C
QARSHI,10 MAY,kunduzi,30…35 °C
QARSHI,11 MAY,kechasi,30…35 °C
QARSHI,11 MAY,kunduzi,30…35 °C
QARSHI,12 MAY,kechasi,30…35 °C
TERMEZ,9 MAY,kunduzi,30…35 °C
TERMEZ,10 MAY,kechasi,30…35 °C
TERMEZ,10 MAY,kunduzi,30…35 °C
TERMEZ,11 MAY,kechasi,30…35 °C
TERMEZ,11 MAY,kunduzi,30…35 °C
TERMEZ,12 MAY,kechasi,30…35 °C
FERGANA,9 MAY,kunduzi,30…35 °C
FERGANA,10 MAY,kechasi,25…30 °C
FERGANA,10 MAY,kunduzi,25…30 °C
FERGANA,11 MAY,kechasi,25…30 °C
FERGANA,11 MAY,kunduzi,25…30 °C
FERGANA,12 MAY,kechasi,25…30 °C
NAMANGAN,9 MAY,kunduzi,25…30 °C
NAMANGAN,10 MAY,kechasi,25…30 °C
NAMANGAN,10 MAY,kunduzi,25…30 °C
NAMANGAN,11 MAY,kechasi,25…30 °C
NAMANGAN,11 MAY,kunduzi,25…30 °C
NAMANGAN,12 MAY,kechasi,25…30 °C
ANDIJAN,9 MAY,kunduzi,25…30 °C
ANDIJAN,10 MAY,kechasi,25…30 °C
ANDIJAN,10 MAY,kunduzi,25…30 °C
ANDIJAN,11 MAY,kechasi,25…30 °C
ANDIJAN,11 MAY,kunduzi,25…30 °C
ANDIJAN,12 MAY,kechasi,25…30 °C
NURAFSHON,9 MAY,kunduzi,27…32 °C
NURAFSHON,10 MAY,kechasi,27…32 °C
NURAFSHON,10 MAY,kunduzi,27…32 °C
NURAFSHON,11 MAY,kechasi,27…32 °C
NURAFSHON,11 MAY,kunduzi,27…32 °C
NURAFSHON,12 MAY,kechasi,27…32 °C
KAMCHIK,9 MAY,kunduzi,27…32 °C
KAMCHIK,10 MAY,kechasi,15…20 °C
KAMCHIK,10 MAY,kunduzi,15…20 °C
KAMCHIK,11 MAY,kechasi,15…20 °C
KAMCHIK,11 MAY,kunduzi,15…20 °C
KAMCHIK,12 MAY,kechasi,15…20 °C
CHIMGAN,9 MAY,kunduzi,17…22 °C
CHIMGAN,10 MAY,kechasi,17…22 °C
CHIMGAN,10 MAY,kunduzi,17…22 °C
CHIMGAN,11 MAY,kechasi,17…22 °C
CHIMGAN,11 MAY,kunduzi,17…22 °C
CHIMGAN,12 MAY,kechasi,17…22 °C
